redni_br,vrsta,naziv,ulica_broj,mjesna_zajednica,napomena,latitude,longitude,telefon,email,web_stranica
0,,Centar za predškolsko vaspitanje I obrazovanje,Jovana Dučića 3,Centar II,,44.7722073,17.1832189,+387 51 490 532,centar@vrticibl,https://vrticibl.org/
1,gradski vrtić,"Dječiji vrtić ""Plavi čuperak""",Živojina Mišića 15,Borik I,"jaslice, poludnevni boravak",44.771149,17.20086,+387 51 490 541,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BF%D0%BB%D0%B0%D0%B2%D0%B8-%D1%87%D1%83%D0%BF%D0%B5%D1%80%D0%B0%D0%BA/
2,gradski vrtić,"Dječiji vrtić  ""Bambi""",Ravnogorska 20,Nova Varoš,"jaslice, poludnevni boravak",44.7806508,17.1954942,+387 51 490 547,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%B1%D0%B0%D0%BC%D0%B1%D0%B8/
3,gradski vrtić,"Dječiji vrtić  ""Bubamara""",Braće Jugovića 1,Obilićevo I,jaslice,44.7607132,17.1918553,+387 51 490 544,,http://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%B1%D1%83%D0%B1%D0%B0%D0%BC%D0%B0%D1%80%D0%B0/
4,gradski vrtić,"Dječiji vrtić  ""Kolibri""",Petra Pecije 65,Lazarevo II,"jaslice, poludnevni boravak",44.7977614,17.2028436,+387 51 490 527,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BA%D0%BE%D0%BB%D0%B8%D0%B1%D1%80%D0%B8/
5,gradski vrtić,"Dječiji vrtić ""Marija Mažar""",Pionirska bb,Obilićevo I,"jaslice, vaspitno obrazovni rad I boravak djece sa posebnim potrebama",44.7573899,17.1823255,+387 51 490 529,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BC%D0%B0%D1%80%D0%B8%D1%98%D0%B0-%D0%BC%D0%B0%D0%B6%D0%B0%D1%80/
6,gradski vrtić,"Dječiji vrtić  ""Naša djeca""",Save Mrkalja 7,Centar I,"jaslice, poludnevni boravak",44.7720885,17.1848842,+387 51 490 537,,http://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BD%D0%B0%D1%88%D0%B0-%D0%B4%D1%98%D0%B5%D1%86%D0%B0/
7,gradski vrtić,"Dječiji vrtić  ""Nataša""",Kordunaška bb,Borik I,,44.7706485,17.2067279,+387 51 490 545,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BD%D0%B0%D1%82a%D1%88%D0%B0/
8,gradski vrtić,"Dječiji vrtić ""Neven""",Srđe Zlopogleđe 42,Obilićevo II,"jaslice, poludnevni boravak",44.7622706,17.1933833,+387 51 490 530,,http://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BD%D0%B5%D0%B2%D0%B5%D0%BD/
9,gradski vrtić,"Dječiji vrtić  ""Radost""",Kralja Nikole 32,Bulevar,"jaslice, poludnevni boravak",44.7656704,17.1800816,+387 51 490 524,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D1%80%D0%B0%D0%B4%D0%BE%D1%81%D1%82/
