 vrsta , naziv , adresa , mjesna_zajednica, napomena , koordinata_N , koordinata_E ,telefon,email,sajt
,Centar za predskolsko vaspitanje I obrazovanje,Jovana Ducica 3,Centar II,,44.7722073,17.1832189,+387 51 490 532,centar@vrticibl,https://vrticibl.org/
gradski vrtic,Plavi cuperak,Zivojina Misica 15,Borik I,"jaslice, poludnevni boravak",44.771149,17.20086,+387 51 490 541,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BF%D0%BB%D0%B0%D0%B2%D0%B8-%D1%87%D1%83%D0%BF%D0%B5%D1%80%D0%B0%D0%BA/
gradski vrtic,Bambi,Ravnogorska 20,Nova Varos,"jaslice, poludnevni boravak",44.7806508,17.1954942,+387 51 490 547,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%B1%D0%B0%D0%BC%D0%B1%D0%B8/
gradski vrtic,Bubamara,Brace Jugovica 1,Obilicevo I,jaslice,44.7607132,17.1918553,+387 51 490 544,,http://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%B1%D1%83%D0%B1%D0%B0%D0%BC%D0%B0%D1%80%D0%B0/
gradski vrtic,Kolibri,Petra Pecije 65,Lazarevo II,"jaslice, poludnevni boravak",44.7977614,17.2028436,+387 51 490 527,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BA%D0%BE%D0%BB%D0%B8%D0%B1%D1%80%D0%B8/
gradski vrtic,Marija Mazar,Pionirska bb,Obilicevo I,"jaslice, vaspitno obrazovni rad I boravak djece sa posebnim potrebama",44.7573899,17.1823255,+387 51 490 529,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BC%D0%B0%D1%80%D0%B8%D1%98%D0%B0-%D0%BC%D0%B0%D0%B6%D0%B0%D1%80/
gradski vrtic,Nasa djeca,Save Mrkalja 7,Centar I,"jaslice, poludnevni boravak",44.7720885,17.1848842,+387 51 490 537,,http://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BD%D0%B0%D1%88%D0%B0-%D0%B4%D1%98%D0%B5%D1%86%D0%B0/
gradski vrtic,Natasa,Kordunaska bb,Borik I,,44.7706485,17.2067279,+387 51 490 545,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BD%D0%B0%D1%82a%D1%88%D0%B0/
gradski vrtic,Neven,Srdje Zlopogledje 42,Obilicevo II,"jaslice, poludnevni boravak",44.7622706,17.1933833,+387 51 490 530,,http://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D0%BD%D0%B5%D0%B2%D0%B5%D0%BD/
gradski vrtic,Radost,Kralja Nikole 32,Bulevar,"jaslice, poludnevni boravak",44.7656704,17.1800816,+387 51 490 524,,https://vrticibl.org/%D0%B2%D1%80%D1%82%D0%B8%D1%9B-%D1%80%D0%B0%D0%B4%D0%BE%D1%81%D1%82/
