redni_broj,Naziv,Adresa,email,web_stranica,telefon,fax,spisak_zaposlenih
1,"„Čistoća"" a. d. Banja Luka ",Braće Podgornika 2,info@cistocabl.com ,https://cistocabl.com/,+387 51 304 010,+387 51 300 802,https://www.banjaluka.rs.ba/wp-content/uploads/docs/company/cistoca.pdf?v=17
2,„Gradsko groblje“ JK a.d. Banja Luka,Sime Matavulja 8,uprava@ggroblje.com ,https://ggroblje.com/,+387 51 216 412,+387 51 216 437,https://www.banjaluka.rs.ba/wp-content/uploads/docs/company/gradsko-groblje.html?v=17
3,JP „Akvana“,Aleja Svetog Save 80,info@aquana.ba ,http://aquana.ba/,+387 51 228 400,+387 228 401,https://www.banjaluka.rs.ba/wp-content/uploads/docs/company/akvana.html?v=17
4,JP „DEP-OT Regionalna deponija“ Banja Luka,Bulevar Živojina Mišića 23,depot@teol.net ,https://www.dep-ot.com/,+387 51 258 320,+387 51 258 321,https://www.banjaluka.rs.ba/wp-content/uploads/docs/company/depot.html?v=17
5,„Toplana“ D.O.O. Banja Luka,Bulevar Živojina Mišića 32,topbl@inecco.net,https://www.bltoplana.com/,+387 51 336 130,+387 51 258 685,https://www.banjaluka.rs.ba/wp-content/uploads/docs/company/toplana.html?v=17
6,„Vodovod“ a. d. Banja Luka,22. aprila  2,vodovod@blic.net,www.vodovod-bl.com,+387 51 212 316,+387 212 380,https://www.banjaluka.rs.ba/wp-content/uploads/docs/company/vodovod.pdf?v=17
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
