Naziv,Adresa,Telefon,NAZIV djelatnosti
"""ANTIMON"" doo Banja Luka",Bulevar Stepe Stepanovića  181 B,051/236-202,Vadenje ostalih ruda obojenih metala
"""WESTERN MINING"" doo Banja Luka, Prevod naziva na srpski jezik glasi: ""ZAPADNJACKO RUDARSTVO"" doo Ba",Bulevar vojvode Stepe Stepanovića  181 b,065/144-777,Vadenje ostalih ruda obojenih metala
"D.O.O.""VSB-Promet""",Dubička 56,051/385-592,Hladno oblikovanje ili savijanje profila
"DOO ""MON AMIE Livnica DREAM""",Krupa na Vrbasu bb,051/417-303,Livenje celika
JELŠINGRAD LIVAR LIVNICA CELIKA  A.D.,Braće Podgornika 8,"051/344-540,051344-540,065/922-539",Livenje celika
"""DASSTIM"" d.o.o. Banja Luka",Nikole Bokana  4,"051/221-700,051/221-701,065/516-899",Proizvodnja metalnih konstrukcija i njihovih dijelova
"""SAMOD"" d.o.o. Banja Luka",Srpskih pilota  11,"065/746-374,051/302-987",Proizvodnja metalnih konstrukcija i njihovih dijelova
"""VIGMELT"" d.o.o. Banja Luka",Bulevar Vojvode Stepe Stepanovića  132,"051/438-589,051/438-614",Proizvodnja metalnih konstrukcija i njihovih dijelova
"""GRMUŠA-MONT""  DOO",Priječani bb,051/385-810,Proizvodnja metalnih konstrukcija i njihovih dijelova
"""S.T.S"" D.O.O.",Pilanska 3,051/355-120,Proizvodnja metalnih konstrukcija i njihovih dijelova
"""METALSKA"" d.o.o. BANJA LUKA",Pilanska 3,,Proizvodnja metalnih konstrukcija i njihovih dijelova
"""PROFIL""  D.O.O.",Saničkih Žetalaca 23,"051/924-195,051/502-015",Proizvodnja vrata i prozora od metala
"SPEKTRA DMG"" D.O.O. BANJA LUKA",Blagoja Parovića bb,"051/388-238,065/587-500",Proizvodnja vrata i prozora od metala
"""RMA"" d.o.o. Banja Luka",Ilije Garašanina  6,"051/372-400,065/511-158,066/600-303",Proizvodnja vrata i prozora od metala
"""TOP DOORS"" D.O.O.",Stevana Mokranjca 30,051/318-555,Proizvodnja vrata i prozora od metala
"DOO ""MAXMARA""",NJegoševa 109,"051/355-120,051/358-850",Proizvodnja vrata i prozora od metala
"""KELLMAN"" d.o.o. Banja Luka",Blagoja Parovića 124,"065/727-736,051/389-260",Proizvodnja radijatora i kotlova za centralno grijanje
"""SANKYO"" d.o.o. Banja Luka",Voždovacka 18,,"Kovanje, presovanje, stancovanje i valjanje metala; metalurgija praha"
"DOO ""AGROMETAL""",Kojića put 13 A,"051/371-980,051/371-103",Masinska obrada metala
"""CEGAR""  DOO",Veljka Mlađenovića bb,"051/306-633,065/534-270",Masinska obrada metala
"""TD STEEL"" d.o.o. Banja Luka",Bulevar Vojvode Stepe Stepanovića 175 a,051/235-172,Masinska obrada metala
"""MAGREL""    DOO",Veljka Mlađenovića bb,051 450 243,Masinska obrada metala
"P.U.P.""KELAVA"" DOO",Sime  Matavulja 7,,Masinska obrada metala
"DOO ""SAMAX""",Mlađe Ćusića 45,"051/304-818,051/301-075,065927-488",Masinska obrada metala
"""R.D.M. - RADUKIC"" D.O.O.",Srpskih sokolova 18,"051/300-742,065/517-538",Masinska obrada metala
"""NES 76 TRADE"" d.o.o. Banja Luka",Borkovići bb,065/351-911,Masinska obrada metala
"D.O.O.""Rade""",Milana Stevilovića 49,051/348-945,Masinska obrada metala
"""VIS"" d.o.o. Banja Luka",Ljubijskih rudara  12,051/358-400,Proizvodnja alata
"""CAJAVEC-ALATNICA"" d.o.o. Banja Luka",Jovana Dučića  25,,Proizvodnja alata
"""ELAS metalexpert"" export- import d.o.o.",Branka Popovica 61B,"051/378-200,051/926-738",Proizvodnja celicnih buradi i slicnih posuda od celika
"DOO ""MILAMI""",Put Srpskih branilaca 17,051/385-926,"Proizvodnja proizvoda od zice, lanaca i opruga"
"""UNIPLET"" d.o.o. Banja Luka",Blagoja Parovića bb,,"Proizvodnja proizvoda od zice, lanaca i opruga"
Stambena zadruga Jugodom,Jovana Dučića 41,"051/310-183,307-983","Proizvodnja proizvoda od zice, lanaca i opruga"
"""AGROKOMBINAT"" d.o.o. Banja Luka",Zmaj Ognjenog Vuka  144,"051/585-708,051/585-706","Proizvodnja proizvoda od zice, lanaca i opruga"
""" FIBEX""d.o.o. Banja Luka",Meše Selimovica 12 B,"065/751-245,051/212-543","Proizvodnja ostalih gotovih proizvoda od metala, d. n."
"""Sektor""  doo",Peti prigradski put 56 b,"051/429-190,065/543-017,065/611-903","Proizvodnja ostalih gotovih proizvoda od metala, d. n."
"""EURO ZNAK"" d.o.o. BANJA LUKA",Braće Pišteljica 1,"051/321-391,051/321-390,065/724-333","Proizvodnja ostalih gotovih proizvoda od metala, d. n."
"""BRAVARIJA GAJILOVIC"" d.o.o.",Pavlovac bb,"051/272-479,065/619-218","Proizvodnja ostalih gotovih proizvoda od metala, d. n."
"""AQUA PROM"" d.o.o. Banja Luka",Kojića put  9 a,,"Proizvodnja ostalih gotovih proizvoda od metala, d. n."
HYDROPARK ENERGY d.o.o. Banja Luka,Karanovac bb,,"Proizvodnja motora i turbina, osim motora za avione i motorna vozila"
"""Camozzi R.S."" d.o.o. Banja Luka",Veselina Masleše 11,,Proizvodnja hidraulicnih pogonskih uredaja
"""EMPES"" D.O.O.",Veljka  Mlađenovića bb,051/450-298,"Proizvodnja industrijskih peci, lozista i gorionika"
"DOO ""TRI BEST""",Ramići bb,051/394-076,Proizvodnja uredaja za dizanje i prenosenje
"DOO ""DUOLIFT""",Rakovačkih rudara 4,065/401-748,Proizvodnja uredaja za dizanje i prenosenje
"""NOVI JELŠINGRAD"" a.d. Banja Luka",Branka Perduva 10 A,051/305-452,Proizvodnja masina za obradu metala
"DOO ""PS-TEH""",Ramići bb,051/392-352,"Proizvodnja masina za industriju hrane, pica i duvana"
"""EURO MOTOR"" d.o.o. Banjaluka",Branka Perduva  10a,051/317-332,Proizvodnja motornih vozila
"""WOLF BIKES"" d.o.o. Banja Luka",Veljka Mlađenovića bb,"051/456-030,065/613-856",Proizvodnja bicikala i invalidskih kolica
"""Atalian Global Services BH""  d.o.o",Veljka  Mlađenovića bb,051/305-310,"Proizvodnja ostalih masina za opstu namjenu, d. n."
,,,
,,,
,,,
,,,
,,,
,,,
