redni_broj,naziv,ulica_broj,web_stranica,email,telefon,faks,latitude,longitude
1,JU Gimnazija,Zmaj Jovina 13,http://www.gimnazijabanjaluka.org/,ss01@skolers.org,+387 51 213 259,+387 51 223 571,44.7695763,17.1813523
2,JU Građevinska škola,Mladena Stojanovića 7,http://gradjevinskaskola.com/,ss02@skolers.org,+387 51 313 717,+387 51 313 717,44.7801482,17.1964037
3,JU Ekonomska škola,Kralja Alfonsa XIII broj 34,https://www.ekonomskaskolabl.org/,ss03@skolers.org,+387 51 231 250,+387 51 231 250,44.7694056,17.1938985
4,"JU Elektrotehnička škola ""Nikola Tesla""",Jevrejska 48,https://www.ets.rs.ba/,ss04@skolers.org,+387 51 313 083,+387 51 301 259,44.768523,17.1929849
5,JU Medicinska škola,Cetinjska 1,https://www.medicinska-skola-bl.net/index1.php,ss05@skolers.org,+387 51 216 482,+387 51 216 482,44.7604355,17.1748673
6,"JU Muzička škola  ""Vlado Milošević""",Jovana Dučića 23,https://muzicka-skola.org/,ssrs12bl@inecco.net,+387 51 214 739,+387 51 214 739,44.7739353,17.1843018
7,JU Poljoprivredna škola,Knjaza Miloša 9,https://www.poljskolabl.rs.ba/,ss06@skolers.org,+387 51 303 576,+387 51 329 521,44.7919019,17.2028683
8,JU Tehnička škola,Đure Daničića 2,https://www.tehnickaskolabl.com/SrednjaSkola2/,ss07@skolers.org,+387 51 348 213,+387 51 348 213,44.7688569,17.1907748
9,JU Tehnološka škola,Pilanska bb,https://tehnoloska.org/,ss08@skolers.org,+387 51 302 381,+387 51 302 381,44.7848335,17.2084871
10,JU Ugostiteljsko-trgovinsko-turistička škola,Stepe Stepanovića 44,https://ugostiteljska.com/,ss09@skolers.org,+387 51 466 204,+387 51 466 204,44.763186,17.1954649
11,JU Škola učenika u privredi,Nikole Pašića bb,https://www.srsksupbl.org/,ss10@skolers.org,+387 51 213 411,+387 51 213 411,44.7690228,17.1937215
12,JU Centar za obrazovanje i vaspitanje i rehabilitaciju sluha i govora,Jovana Raškovića 28,https://centar-ovrsg.com/sadrzaj/jedna/9,spec02@skolers.org,+387 51 214 491,+387 51 214 491,44.7751085,17.1775132
13,"JU Centar ""Zaštiti me""",Poljokanov park bb,https://www.zastitime.info/,zastiti@inecco.net,+387 51 201 708,+387 51 201 708,44.757149,17.1723563
14,"PU Srednjoškolski centar ""Ljubiša Mladenović""",Despota Stefana Lazarevića bb,http://spskola.com/kontakt/,info@spskola.com,+387 51 379 410,+387 51 379 411,44.8093781,17.1992265
15,"PU Srednjoškolski centar ""Gemit-Apeiron""",Pere Krece 13,http://www.apeiron-gemit.org/,srednjaskola@apeiron-ssc.com,+387 51 430 982,+387 51 430 982,44.770892,17.181759
16,"PU Srednjoškolski centar ""Gaudeamus""",Jovana Dučića 23,https://scgaudeamus.com/o-skoli/,info@scgaudeamus.com,+387 51 248 339,+387 51 248 329,44.7763366,17.1854658
17,"PU Katolički školski centar ""Ivan Merz""",Srpska 28,http://www.kscbl.com/,kontakt@kscbl.com,+387 51 211 670,+387 51 212 750,44.7706349,17.1922393
