redni_broj,naziv,adresa,fax,telefon,web_stranica
1,Univerzitet u Sarajevu,Obala Kulina Bana 7,226-379,226-378,https://www.unsa.ba/
2,Akademija likovnih umjetnosti,Obala Maka Dizdara 3,664-883,664-883,https://www.alu.unsa.ba
3,Akademija scenskih umjetnosti,Adresa: Obala Kulina Bana 11,272-361,215-277,https://www.asu.unsa.ba
4,Arhitektonski fakultet,Patriotske lige 30,213-494,663-944,https://www.af.unsa.ba
5,Ekonomski fakultet,Trg oslobođenja-Alija Izetbegović 1,275-994,275-900,https://www.efsa.unsa.ba
6,Elektrotehnički fakultet,Zmaja od Bosne bb,250-725,250-700,https://www.etf.unsa.ba
7,Fakultet islamskih nauka,Ćemerlina 54,232-981,251-046,https://www.fin.ba
8,Fakultet međunarodnih finansija i bankarstva,Fra Anđela Zvizdovića 1,+ 387 (0)33 296 4,+ 387 (0)33 296 4,https://www.aubih.edu.ba
9,Fakultet političkih nauka,Skenderija 72,666-884,666-844,https://www.fpnsa.edu.ba
10,Fakultet sporta i tjelesnog odgoja,Patriotske lige 41,211-537,213-602,https://www.fasto.unsa.ba
11,"Fakultet za kriminalistiku, kriminologiju i sigurnosne studije",Zmaja od Bosne 8,561-216,561-200,https://www.fknbih.edu
12,Fakultet za saobraćaj i komunikacije,Patriotske lige 41,212-764,212-764,https://www.fsk.unsa.ba
13,Fakultet za upravu - pridružena članica Univerziteta u Sarajevu,Patriotske lige broj 41,554-146,553-835,https://fu.unsa.ba/
14,Fakultet zdravstvenih studija,Bolnička 25,264-821,264-820,https://www.fzs.unsa.ba
15,Farmaceutski fakultet,Zmaja od Bosne 8,033/586-356,033/586-180,https://www.ffsa.unsa.ba
16,Filozofski fakultet,Franje Račkog 1,667-873,253-100,https://www.ff.unsa.ba
17,Građevinski fakultet,Patriotske lige 30,200–158,278-400,https://www.gf.unsa.ba
18,Institut za genetičko inženjerstvo i biotehnologiju Sarajevo ,Zmaja od Bosne 8,033 442 891,033 220 926,https://www.ingeb.ba/
19,Institut za istoriju Sarajevo,Alipašina br. 9,+ 387 (0)33 217-2,+387 (0)33 209-36,https://www.iis.unsa.ba/
20,Institut za istraživanje zločina protiv čovječnosti i međunarodnog prava Sarajevo ,Halida Nazečića 4,,+387(0)33 561-350,https://www.institut-genocid.unsa.ba/
21,Institut za jezik,Hasana Kikića 12,206-864,200-117,https://www.izj.unsa.ba
22,Internacionalni Burč univerzitet - International Burch University ,Francuske revolucije bb,+387(0)33 782 131,+387(0)33 782 130,https://www.ibu.edu.ba
23,Internacionalni univerzitet u Sarajevu - International University of Sarajevo,Hrasnička cesta 15,+387 33 957 105,+387 33 957 101/1,https://www.ius.edu.ba
24,Katolički bogoslovni fakultet,Josipa Štadlera 5,441-252,533-516,https://kbf.unsa.ba/
25,Mašinski fakultet,Vilsonovo šetalište 9,653-055,656-562,https://www.mef.unsa.ba
26,Medicinski fakultet,Čekaluša 90,203–670,663-743,https://www.mf.unsa.ba
27,Muzička akademija,Josipa Štadlera 1/II,444-896,200-299,https://www.mas.unsa.ba
28,Orijentalni institut u Sarajevu,Zmaja od Bosne 8b,387 33 225 353,387 33 225 353,https://www.ois.unsa.ba/
29,Pedagoški fakultet,Skenderija 68,214–606,214-607,https://www.pf.unsa.ba
30,Poljoprivredno-prehrambeni fakultet,Zmaja od Bosne 8,667 - 429,653-033,https://www.ppf.unsa.ba
31,Pravni fakultet,Obala Kulina bana 7,206-355,206-350,https://www.pfsa.unsa.ba
32,Prirodno-matematički fakultet,Zmaja od Bosne 35,649-359,279-949,https://www.pmf.unsa.ba
33,Stomatološki fakultet sa klinikama,Bolnička 4a,443-395,443-269,https://www.sf.unsa.ba
34,Šumarski fakultet,Zagrebačka 20,611-349,611-349,https://www.sfsa.unsa.ba
35,Univerzitet Sarajevo School of Science and Technology,Hrasnička cesta 3a,+387(0)33 975-030,+387(0)33 975-000,https://www.ssst.edu.ba
36,Veterinarski fakultet,Zmaja od Bosne 90,610-908,655-922,https://www.vfs.unsa.ba/
