redni_broj,naziv,adresa,fax,telefon,web_stranica
1,"Centar za edukaciju ""Centrotrans"", Sarajevo","Kurta Schorka br.14, Sarajevo",033/770-853,033/770-800,
2,"Centar za edukaciju ""DIZART""","Halilovići br. 45, Sarajevo",,,https://dizart.edu.ba/
3,"Centar za edukaciju i istraživanje ""Nahla""","Džemala Bijedića br. 122, Sarajevo",033/641-664,033/710-650,https://nahla.ba/
4,"Centar za edukaciju i treninge "" AZUR""","Vitomira Lukića br. 12a, 71000 Sarajevo",,,https://www.azur.ba/edukacije/
5,"Centar za edukaciju, razvoj i istraživanje Pedagoškog fakulteta Univerziteta u Sarajevu","Skenderija br. 72, 71000 Sarajevo",,033/214-607,http://www.pf.unsa.ba/
6,Centar za obrazovanje i poduzetništvo,"Alojza Benca 4, Sarajevo i Igmanska bb, Vogošća",+387 33 425 367,+387 33 425 365,http://www.cop.edu.ba/
7,Centar za obrazovanje odraslih Akademija Brezar,"Stupska br. 3, Ilidža",,,https://akademija-brezar.com/
8,Centar za obrazovanje odraslih SERDA,"Kolodvorska br. 6, Sarajevo",,,https://serda.ba/bs
9,CPCD - SMART centar za obrazovanje odraslih,"Gradačačka bb, 71000 Sarajevo",,033 644-810,
10,Internacionalni Univerzitet u Sarajevu - Centar za cjeloživotno učenje - IUS Life,"Hrasnička cesta 15, Ilidža",,,https://www.ius.edu.ba/lifelong-learning-center-iuslife
11,"JU Fakultet sporta i tjelesnog odgoja, Sarajevo","Patriotske lige 41, Sarajevo",,033/211-537,http://www.fasto.unsa.ba/#
12,JU „Bosanski kulturni centar“ Kantona Sarajevo,"Branilaca Sarajeva br. 24, 71000 Sarajevo",,033/586-777,https://bkc.ba/
13,Privatna ustanova za obrazovanje odraslih „Senad Hair Academy“,"Grbavička br. 8a, Sarajevo",,033/715-615,https://en.senadhairacademy.com/skola-za-frizere
14,Privredna komora Kantona Sarajevo,"La Benevolencija br. 8, Sarajevo",033/250-138,033/250-100,https://pksa.ba/
15,"Privredno društvo Edukativni centar ""FINconsult"" Sarajevo","ul. Asima Ferhatovića br. 2, 71000 Sarajevo",,033/204-769,https://finconsult.ba/
16,Šabić d.o.o. - Pravni subjekat za obrazovanje odraslih,"Radićeva 4D, Sarajevo",,033/557-020,
17,TRI D Centar za obrazovanje,"Alipašina bb, Sarajevo",,,
18,"Ustanova za obrazovanje odraslih ""Nova zanimanja""","Hamdije Kreševljakovića br. 18, Sarajevo",,,https://www.novazanimanja.ba/
