redni_broj,naziv,adresa,fax,telefon,web_stranica
1,Centar za slijepu i slabovidnu djecu i omladinu,Lukavička 6,473-020,473-019,https://www.czsd.edu.ba
2,Centar za slušnu i govornu rehabilitaciju,Asima Ferhatovića 2,440-969,440-969,https://www.cersig.edu.ba
3,Četvrta gimnazija,Mala aleja 69,636-704,636-704;,https://www.cetvrta-gimnazija.edu.ba
4,Druga gimnazija,Sutjeska 1,667-438,667-438,https://www.2gimnazija.edu.ba
5,Elektrotehnička škola za energetiku,Zmaja od Bosne 37,655-285,235-014,https://www.etssa.edu.ba
6,Gazi Husrev-begova medresa,Sarači 49,534-384,534-888,https://www.medresa.ba
7,Gimnazija Dobrinja,Senada Poturka Senčija bb,464-284,464-948,https://www.gdobrinja.edu.ba
8,Gimnazija Obala,Obala Kulina bana 3,214-960,214-960,https://www.obala.edu.ba
9,Gimnazija Univerziteta Sarajevo School of Science and Technology,"Bistrik br. 7, 71000 Sarajevo",,,https://www.gssst.edu.ba
10,Internacionalna gimnazija SEDEF,"Banjalučka 14, 71000 Sarajevo",,033/957-440,https://www.igs.edu.ba
11,JU Srednja građevinsko-geodetska škola,"Franca Lehara br. 5, Sarajevo",033/214-543,"033/214-543, 033/213-290",https://www.ggs.edu.ba/
12,JU Srednja škola metalskih zanimanja,"Zmaja od Bosne br. 8, Sarajevo",033/275-630,033/275-600,http://www.jussmz.com.ba/
13,"JU Srednja škola poljoprivrede, prehrane, veterine i uslužnih djelatnosti",Hamdije Kreševljakovića br. 55,033/443-371,033/262-900,https://mspvps.edu.ba/
14,JU Srednja škola za okoliš i drvni dizajn,"Vilsonovo šetalište 11, Sarajevo",,033/641-036,http://www.ssodd.edu.ba/
15,JU Srednja škola za saobraćaj i komunikacije,"Velešići br. 2, 71000 Sarajevo",033/561-941,033/561-942,https://ssskskola.edu.ba/
16,"JU Srednjoškolski centar ""Nedžad Ibrišimović"" Ilijaš","Kakanjska br. 16, Ilijaš, 71380",033/400-815,"033/400-813, 033/400-815",http://www.scilijas.com.ba/
17,JU Srednjoškolski centar Hadžići,"6. mart br. 19, Hadžići",033/420-337,033/580-710,https://sscha.edu.ba/
18,Katolički školski centar - srednja medicinska škola,Šenoina 3,552-021,218-295,https://www.ksc-sarajevo.com
19,Katolički školski centar – Opća realna gimnazija,Mehmed Paše Sokolovića 11,665-521,653-506,https://www.ksc-sarajevo.com
20,"Međunarodna gimnazija ""Richmond Park International Secondary School""",Francuske revolucije bb,782-121,944-130,https://www.internationalschool.ba
21,Perzijsko-Bosanski koledž sa internatom ,Lješevo b.b.,402-487,402-204,https://www.pbk.edu.ba
22,Peta gimnazija,Senada Poturka Senčija bb,235-521,235-521,https://www.peta-gimnazija.edu.ba
23,"Privatna internacionalna gimnazija ""Bloom""","Nalina 16, Stari Grad Sarajevo",033/865-564,033/207-899,https://www.bloom.edu.ba
24,Privatna ustanova Školski Centar Maarif Schools of Sarajevo (Škole „Maarif“ Sarajevo) - srednja škola,"Hasiba Brankovića 2A, Sarajevo",,062/271-004,www.maarifschools.edu.ba
25,Prva bošnjačka gimnazija,Petrakijina 22,668-212,461-780,https://www.bosnjackagim.edu.ba/
26,Prva gimnazija,Gimnazijska 3,216-685,203-567,https://www.prva-gimnazija.edu.ba
27,Škola za srednje stručno obrazovanje i radno osposobljavanje,Azize Šaćirbegović 80,655-950,655-950,https://www.strucnoobraz.edu.ba
28,Srednja ekonomska škola,Zmaja od Bosne 39,250-048,250-041,https://www.ses.edu.ba
29,Srednja elektrotehnička škola,Safeta Zajke 2,650-998,650-989,https://www.ets-sa.edu.ba
30,Srednja građevinsko geodetska škola,Franca Lehara 5,214-543,214-543,https://www.ggs.edu.ba
31,Srednja mašinska tehnička škola,Zmaja od Bosne 8 Direktor,275-630,275-620,https://www.smts.edu.ba
32,Srednja medicinska škola,Tahmiščina 2,202-005,666-185,https://www.sms.edu.ba
33,Srednja medicinska škola - Jezero,Patriotske lige 67a,652-416,443-987,https://www.smsjezero.edu.ba
34,Srednja muzička škola,Josipa Štadlera 1,207-951,441-958,https://www.muzickasa.edu.ba
35,Srednja poslovno-komercijalna i trgovačka škola,Armaganuša 29,+387 33 205-942,+387 33 205-942,https://www.sts.edu.ba
36,Srednja škola metalskih zanimanja,Zmaja od Bosne 8,207-369,207-369,https://www.ssmz.edu.ba
37,"Srednja škola poljoprivrede, prehrane, veterine i uslužnih djelatnosti",Hamdije Kreševljakovića 55,443-371,262-900,https://www.mspvps.edu.ba
38,Srednja škola primijenjenih umjetnosti,Gimnazijska 11,262-580,440-520,https://www.artschoolsa.edu.ba/
39,Srednja škola za okoliš i drvni dizajn,Vilsonovo Šetalište 11,641-036,641-036,https://www.ssodd.edu.ba
40,Srednja škola za saobraćaj i komunikacije ,Velešići 2,561-941,561-940,https://www.ssskskola.edu.ba
41,"Srednja škola za tekstil, kožu i dizajn ",Medrese 5,531-675,531-675,https://www.msts.edu.ba
42,"Srednja tehnička škola grafičkih tehnologija, dizajna i multimedije",Emira Bogunića Čarlija 2,764-225,764-225,https://www.sgts.edu.ba
43,Srednja ugostiteljsko-turistička škola,Dugi sokak 9,232-828,534-633,https://www.msuts-sa.edu.ba
44,Srednja zubotehnička škola,Čekaluša 84,262-180,262-180,https://www.szs.edu.ba
45,"Srednjoškolski centar ""Nedžad Ibrišimović"" Ilijaš",Kakanjska 16,+387 33 400-815,+387 33 400-815,https://www.scilijas.com.ba
46,Srednjoškolski centar Hadžići,Ul. 6. mart br. 19,420-337,420-337,https://www.sscha.edu.ba
