redni_broj,naziv,ulica_broj,općina,telefon,email,web_stranica
1,Društvo za veterinarske usluge VET CENTAR d.o.o.,Husrefa Redžića 7,Centar,+387(0)62 347 489,,
2,"KJP ""Poljoprivredno dobro Butmir"" PJ Veterinarska stanica Sarajevo","Ilidža, Doglodi 119",Ilidža,+387(0)33 621 286,,https://pdbutmir.com/
3,"""KETTI"" d.o.o.",Kolodvorska 12,Novo Sarajevo,+387(0)63 383 203,,https://svijetljubimaca.ba/
4,Mr PET d.o.o.,Stupska do br. 19,Ilidža,+387(0)61 937 178,,
5,NOVI GRAD d.o.o.,Tjepovački put 2,Novi Grad,+387(0)33 774 590,,
6,"""Veterinarska medicina"" d.o.o. Ilidža","Ilidža, Stara cesta 4",Ilidža,"062 135 462, 061 388 230",,
7,"""Provet"" d.o.o.","Hasana Merđanovića 2, Vogošća",Vogošća,"+387(0)33 481 126, +387(0)61 936 766",,
8,"""City Vet"" d.o.o. Sarajevo",Hasiba Brankovića bb,Novi Grad,+387(0)61 191 131,,
9,"""VET LIFe"" d.o.o.","Sarajevo, Hajrudina Šabanije 2",Novi Grad,+387(0)33 235 333,vetlife@vetlife.ba,https://vetlife.ba/
10,"Veterinarska stanica ""DIVET"" d.o.o. Ilijaš","Ilijaš, Stari Ilijaš b.b.",Ilijaš,+387(0)61 563 149,,
11,"Veterinarska stanica ""VET"" d.o.o Hadžići","Hadžići, Mrđana Đoke 50",Hadžići,"+387(0)33 418 556, +387(0)61 100 992",,
12,"KJP ""Veterinarska stanica"" d.o.o. Sarajevo Mikrobiološko kemijski laboratorij",Azize Šaćirbegović 16,Novo Sarajevo,+387(0)33 767 025,vetlabossa@hs-hkb.ba,https://vssarajevo.ba/
13,"KJP ""Veterinarska stanica"" d.o.o. Sarajevo",Nikole Šopa 41,Ilidža,+387(0)33 770 350,,https://vssarajevo.ba/
14,"KJP ""Veterinarska stanica"" d.o.o. Sarajevo Odjeljenje za dezinfekciju, dezinsekciju i deratizaciju",Nikole Šopa 41,Ilidža,+387(0)33 767 025,,https://vssarajevo.ba/
15,"KJP ""Veterinarska stanica"" d.o.o. Sarajevo Služba za preventivu i dijagnostiku zaraznih bolesti",Nikole Šopa 41,Ilidža,+387(0)33 767 025,,https://vssarajevo.ba/
16,Veterinarska ambulanta Ilijaš,Bosanski put bb,Ilijaš,+387(0)33 400 673,,
17,Veterinarska ambulanta Slatina ,Slatina b.b,Centar,+387(0)33 216 848,,
18,Ambulanta Trnovo,Trnovo bb,Trnovo,+387(0)33 439 133,,
19,Veterinarska ambulanta Hadžići,Hadželi 30,Hadžići,+387(0)33 420 266,,
20,Veterinarska ambulanta Vogošća,Igmanska 35,Vogošća,+387(0)33 482 213,,
21,Veterinarska apoteka,Nikole Šopa 41,Ilidža,+387(0)33 458 946,,
22,Ambulanta Stup,Nikole Šopa 41,Ilidža,+387(0)33 770 360,,
